add-yield-none,1,100000,200000,150838308,754,0
add-yield-none,2,1,4,111300,27825,0
add-yield-none,2,10,40,126620,3165,0
add-yield-none,2,100,400,281732,704,26
add-yield-none,2,1000,4000,1797810,449,26
add-yield-none,2,10000,40000,17366034,434,0
add-yield-none,2,100000,400000,173434331,433,21
add-yield-none,4,1,8,171989,21498,0
add-yield-none,4,10,80,155657,1945,4
add-yield-none,4,100,800,331985,414,59
add-yield-none,4,1000,8000,2048463,256,79
add-yield-none,4,10000,80000,19327318,241,44
add-yield-none,4,100000,800000,191617527,239,-2194
add-yield-none,8,1,16,246418,15401,0
add-yield-none,8,10,160,243736,1523,21
add-yield-none,8,100,1600,425899,266,153
add-yield-none,8,1000,16000,2223999,138,112
add-yield-none,8,10000,160000,20435691,127,22
add-yield-none,8,100000,1600000,199263183,124,4938
add-yield-none,12,1,24,372519,15521,0
add-yield-none,12,10,240,329734,1373,11
add-yield-none,12,100,2400,554495,231,203
add-yield-none,12,1000,24000,2852937,118,165
add-yield-none,12,10000,240000,25456905,106,190
add-yield-none,12,100000,2400000,256913691,107,-6211
add-yield-m,1,1,2,100048,50024,0
add-yield-m,1,10,20,114608,5730,0
add-yield-m,1,100,200,266033,1330,0
add-yield-m,1,1000,2000,1860047,930,0
add-yield-m,1,10000,20000,16587106,829,0
add-yield-m,1,100000,200000,170719079,853,0
add-yield-m,2,1,4,115782,28945,0
add-yield-m,2,10,40,127489,3187,0
add-yield-m,2,100,400,757525,1893,0
add-yield-m,2,1000,4000,6841297,1710,0
add-yield-m,2,10000,40000,65850816,1646,0
add-yield-m,2,100000,400000,631132163,1577,0
add-yield-m,4,1,8,161488,20186,0
add-yield-m,4,10,80,161891,2023,0
add-yield-m,4,100,800,1381470,1726,0
add-yield-m,4,1000,8000,12761729,1595,0
add-yield-m,4,10000,80000,135510001,1693,0
add-yield-m,4,100000,800000,1374200564,1717,0
add-yield-m,8,1,16,280843,17552,0
add-yield-m,8,10,160,362205,2263,0
add-yield-m,8,100,1600,2670067,1668,0
add-yield-m,8,1000,16000,28903413,1806,0
